x,y
530.5915893595092,3903.7780617097055
3725.9634335102655,3692.329640282144
416.4625582958378,85.05703494711861
3896.6543792857246,68.2313755285162
3309.9137358201865,71.06808647486706
3354.2878519877695,3930.7275089951936
2623.2783079276755,3923.750730567014
59.95244514847275,686.2625529050333
1091.5994649310928,3909.1323387860184
52.284445274979475,3897.149700322164
1582.2416415127345,3912.979546609099
56.075065284323756,3114.2432435130995
1375.7099161970436,80.41936835503716
56.5001194868486,2399.8801762303965
3887.5851235914815,1635.5238805273343
2909.0714486849693,1134.6183288124178
56.850717423120365,1810.6512834200662
59.18435239548511,1167.2353846085637
2031.109793740561,3527.2032674151064
3882.6564638513264,2487.2642802755936
3427.1704217775923,1285.7851026723818
2851.1304073196566,3511.3687951007414
825.0714959951302,3076.4978022592345
2307.3563610316046,328.4959350295462
2850.1327871446138,73.29098625956246
3878.4150531681976,3220.238561561857
2740.670427178299,1695.8235224567493
578.7364079999435,2642.3045207278437
3014.1246215794567,519.3895868485761
60.62016155590739,268.1444935826904
1773.9914939261505,2031.9781018682936
3613.042970550586,396.47313632318156
722.8522073616843,2104.1158910880113
2370.452546165694,1525.957281988411
2556.1535810402747,2936.420552766975
894.8569691075181,1742.713775153361
846.0588870139267,82.98006853656123
1475.1962281131302,3153.5961528515063
628.2313033694913,453.42278853537755
3861.071382289955,823.7270878596306
1491.30655728208,1360.620603075583
1191.2329487091768,966.8226073667088
821.574755323444,1335.0096730957798
1169.3265802134902,442.545402679441
2180.1113370854137,2102.3876526764375
3103.299420116484,1947.1395243705751
1929.7640784858472,631.5244594751372
2737.568593148022,2173.3473473823938
3300.081939824765,3151.7671590279733
1187.0271903629884,2623.134697826964
